VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
-0.0549999999999998,-4.875e-06,3.9250000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-9.499999999999994e-07,8.8e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1079545454545453,0.0040409955792963,3.915791855203644e-06,-4.91739819004528e-06,-1.0016063348416352e-06,-0.11474356285657565
-0.0499999999999998,-4.925000000000001e-06,4.1000000000000006e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-8.250000000000006e-07,9.025000000000004e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0914127423822715,0.0039338228774011,4.108212669683283e-06,-4.976538461538493e-06,-8.683257918552091e-07,-0.09681458079138824
-0.0449999999999998,-5.1e-06,4.350000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.499999999999996e-07,9.45e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0793650793650793,0.0037530701220297,4.302760180995501e-06,-5.03475113122175e-06,-7.319909502262488e-07,-0.07941715161807646
-0.0399999999999998,-5.125e-06,4.5e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-6.249999999999999e-07,9.625e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0649350649350649,0.0036810181455769,4.494728506787358e-06,-5.098122171945733e-06,-6.033936651583747e-07,-0.06361024537994643
-0.0349999999999998,-5.0750000000000005e-06,4.625e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4.500000000000008e-07,9.7e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0463917525773196,0.0036488004533647,4.665316742081477e-06,-5.150927601809986e-06,-4.856108597285097e-07,-0.04978962755271752
-0.0299999999999998,-5.2e-06,4.825e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-3.749999999999998e-07,1.0025e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0374064837905236,0.0035291836213347,4.798348416289622e-06,-5.185656108597316e-06,-3.8730769230769465e-07,-0.03857436236322475
-0.0249999999999998,-5.225000000000001e-06,4.95e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.750000000000008e-07,1.0175e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0270270270270271,0.0034759950403884,4.894954751131252e-06,-5.202239819004557e-06,-3.0728506787330504e-07,-0.0300115609183785
-0.0199999999999998,-5.25e-06,5.050000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.9999999999999893e-07,1.03e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0194174757281552,0.0034332042321148,4.986131221719488e-06,-5.2131900452489e-06,-2.270588235294132e-07,-0.02188389781085655
-0.0149999999999998,-5.25e-06,5.1e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.499999999999994e-07,1.035e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0144927536231883,0.0034163335150194,5.0416515837104385e-06,-5.2117647058823856e-06,-1.7011312217194676e-07,-0.016224801200438007
-0.0099999999999998,-5.225000000000001e-06,5.1e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.250000000000005e-07,1.0325e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0121065375302663,0.0034244968474091,5.080633484162927e-06,-5.194343891402747e-06,-1.1371040723981972e-07,-0.010850181337694068
