angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
315.0,-9.797140396265455e-07,9.714697674797375e-07,-3.880728742062319e-05,-8.474936537463819e-06,-9.788528913935736e-07,9.713596677638165e-07,8.50296355452936e-10,4.5192086355302604e-10,21,19,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-7.493223629757152e-09,9.629311289033388e-10,1.95021255915739e-06,9.629311289033388e-10,-0.0038422599601115,0.0004937606581463,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
330.0,-9.82673092525595e-07,9.752428397845368e-07,-4.660326098102967e-05,-1.600819811532907e-05,-9.825464195616818e-07,9.743225999599074e-07,7.07384211009194e-10,5.67477652927605e-10,21,21,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-8.223819601774438e-09,9.068755750141931e-10,1.956869019521589e-06,9.068755750141931e-10,-0.0042025396282194,0.0004634360165399,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
345.0,-9.881418615937955e-07,9.784306326774895e-07,-3.62646687626309e-05,-6.335983166404103e-06,-9.874067005857307e-07,9.78385178924955e-07,8.113881314832756e-10,4.706551576974536e-10,21,19,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-9.021521660775771e-09,9.380122479899375e-10,1.9657918795106857e-06,9.380122479899375e-10,-0.0045892557369915,0.0004771726526997,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
360.0,-9.937425871914673e-07,9.836359313934004e-07,-4.0806344607828976e-05,-1.2063249753008784e-05,-9.937008920959525e-07,9.838549677485967e-07,2.0560982268879755e-10,4.1635559287437027e-10,7,13,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-9.845924347355754e-09,4.643569520357019e-10,1.977555859844549e-06,4.643569520357019e-10,-0.0049788350090549,0.0002348164807146,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
0.0,-3.855718157434713e-06,3.895698154139723e-06,-6.490375074702542e-05,-1.3901529496234693e-05,-3.85518433820889e-06,3.896100485338197e-06,1.6307573814035751e-09,2.1280450907088472e-09,17,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.091614712930733e-08,2.681034416991373e-09,7.751284823547086e-06,2.681034416991373e-09,0.0052786277450431,0.0003458874018715,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
15.0,-3.8528292309099016e-06,3.890907032369745e-06,-6.855994084643993e-05,-1.6792695132010528e-05,-3.8514773251735e-06,3.89113622493671e-06,1.305451563385175e-09,2.272064629438573e-09,17,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,3.9658899763209616e-08,2.6203971959782434e-09,7.742613550110211e-06,2.6203971959782434e-09,0.0051221592691585,0.0003384427692069,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
30.0,-3.832959469387591e-06,3.872686855016418e-06,-7.13753984085582e-05,-2.0418320634100803e-05,-3.834802593385033e-06,3.872239055295418e-06,1.603049092955073e-09,2.373719108991579e-09,17,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,3.7436461910384953e-08,2.864316463454389e-09,7.707041648680452e-06,2.864316463454389e-09,0.0048574360457484,0.0003716536623449,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
45.0,-3.8083961264907785e-06,3.840803479761552e-06,-7.289141400959897e-05,-2.2415708760154694e-05,-3.809479504847289e-06,3.840542216983443e-06,1.5519798845029995e-09,3.2390591846925876e-09,17,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,3.106271213615404e-08,3.591677319003386e-09,7.650021721830733e-06,3.591677319003386e-09,0.0040604737170236,0.0004695028404201,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
60.0,-3.785586052661847e-06,3.808310190105936e-06,-7.286899052557642e-05,-2.309312361039856e-05,-3.784518621310162e-06,3.8067513700577055e-06,1.377574369581715e-09,2.309573543521521e-09,15,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,2.223274874754445e-08,2.6892082657657836e-09,7.591269991367868e-06,2.6892082657657836e-09,0.0029287258617893,0.0003542516340551,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
75.0,-3.7707369616812833e-06,3.778591392250136e-06,-7.342462870856484e-05,-2.411056872082149e-05,-3.768951100527561e-06,3.777004909428955e-06,1.530798017428031e-09,3.472936491862569e-09,15,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,8.053808901394376e-09,3.795343258082499e-09,7.545956009956516e-06,3.795343258082499e-09,0.0010673013320999,0.0005029641591831,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
