VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
1.2850000000000008,-3.8e-08,3.2e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-6.000000000000001e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.0857142857142857,0.0405542607293852,3.700814479638032e-08,-3.401447963800926e-08,2.9936651583710597e-09,0.04315946032209034
1.290000000000001,-3.4e-08,3.6000000000000005e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,2.0000000000000047e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0285714285714286,0.0404225907041304,3.6267873303167644e-08,-3.289954751131242e-08,3.3683257918552257e-09,0.048807966662638244
1.2950000000000008,-3.4e-08,3.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0415945165403851,3.699185520362014e-08,-3.263710407239839e-08,4.354751131221747e-09,0.06322301533374236
1.3000000000000007,-2.8e-08,4.2000000000000006e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1.4000000000000006e-08,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.2,0.041206300291017,3.592036199095044e-08,-3.29447963800907e-08,2.9755656108597467e-09,0.044472420873805214
1.3050000000000008,-2.8e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1.0000000000000004e-08,6.600000000000002e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.1515151515151515,0.0433440724378547,3.5902262443439136e-08,-3.327963800904998e-08,2.6226244343891563e-09,0.03926522587422264
1.310000000000001,-3.6000000000000005e-08,3.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-2.0000000000000047e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.0285714285714286,0.0404225907041304,3.582443438914049e-08,-3.364705882352962e-08,2.1773755656108735e-09,0.032835216157015665
1.3150000000000008,-3e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,8.000000000000005e-09,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.1176470588235295,0.0418813786744297,3.636923076923099e-08,-3.4059728506787536e-08,2.3095022624434544e-09,0.034217994875434546
1.3200000000000007,-3.8e-08,3.2e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-6.000000000000001e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.0857142857142857,0.0405542607293852,3.687782805429887e-08,-3.411221719457035e-08,2.7656108597285247e-09,0.03978142310322265
1.3250000000000008,-3.8e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0372161463782393,3.641447963800928e-08,-3.515837104072419e-08,1.256108597285077e-09,0.01794353749371063
1.330000000000001,-4e-08,3e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-1.0000000000000004e-08,6.999999999999999e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.1428571428571429,0.0408163265306122,3.69031674208147e-08,-3.6532126696832796e-08,3.7104072398190364e-10,0.005552019600462546
1.3350000000000009,-3.8e-08,4.2000000000000006e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,4.000000000000003e-09,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05,0.0353995056462657,3.564343891402736e-08,-3.7321266968326026e-08,-1.6778280542986523e-09,-0.02486974213617827
1.3400000000000007,-3.2e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,6.000000000000001e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0857142857142857,0.0405542607293852,3.649773755656131e-08,-3.6866968325792084e-08,-3.6923076923077155e-10,-0.004870982794858264
1.3450000000000009,-3.4e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0555555555555555,0.0393442863703146,3.5866063348416516e-08,-3.6398190045249096e-08,-5.321266968325818e-10,-0.010504088123703985
