VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate 15 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,2.788401088460141e-07,-2.781188905447741e-07,9.280055925595564e-05,7.820263930266706e-05,2.7860237675920014e-07,-2.7777614806452765e-07,1.2773490219605582e-10,2.3467345016499166e-10,31,25,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,8.26228694672489e-10,2.671850172658953e-10,5.563785248237278e-07,2.671850172658953e-10,0.0014850118360234255,0.0004802221867866283
0.005,2.791955525443464e-07,-2.771842971156546e-07,9.078823835314012e-05,7.375455293367817e-05,2.790449892144156e-07,-2.771358107245311e-07,1.9196964365421683e-10,2.3042522161120616e-10,37,29,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,1.9091784898845007e-09,2.9991353227105385e-10,5.561807999389468e-07,2.9991353227105385e-10,0.0034326580315143483,0.0005392406556654143
0.01,2.7954200972482214e-07,-2.766698255248314e-07,9.252053926558496e-05,7.665436739911733e-05,2.794092180270726e-07,-2.765093915365004e-07,2.308343914911828e-10,2.3795614662177467e-10,37,31,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,2.8998264905722177e-09,3.315232179051539e-10,5.559186095635731e-07,3.315232179051539e-10,0.005216278859325725,0.0005963601909927738
0.015,2.8141685006108685e-07,-2.773107987833208e-07,8.950903021035256e-05,7.357781576198512e-05,2.813125462434382e-07,-2.772985555157089e-07,1.4074920307875547e-10,2.7415124619389345e-10,21,17,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,4.013990727729325e-09,3.081708032195288e-10,5.586111017591471e-07,3.081708032195288e-10,0.0071856622882873035,0.0005516874944881786
0.02,2.81418696453735e-07,-2.762967167478144e-07,9.212203110593034e-05,7.490747799351142e-05,2.814212820612875e-07,-2.763504023143721e-07,1.6438185156457002e-10,3.0205036497384566e-10,37,31,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,5.070879746915444e-09,3.4388343389094757e-10,5.577716843756596e-07,3.4388343389094757e-10,0.009091317987200302,0.0006165562981559901
0.025,2.777715264362575e-07,-2.7325151469676165e-07,9.315215571412845e-05,6.663919501007784e-05,2.777148654161872e-07,-2.734453091846632e-07,1.3524403385084468e-10,3.2519481599764913e-10,20,20,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,4.269556231523964e-09,3.5219684417097394e-10,5.511601746008504e-07,3.5219684417097394e-10,0.007746489003157698,0.0006390291381227015
0.03,2.766203754595978e-07,-2.7147862814317085e-07,9.275493735313424e-05,6.933090886852066e-05,2.764755222007528e-07,-2.714370807277182e-07,1.6929654515603148e-10,2.6860867553967735e-10,37,29,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,5.038441473034609e-09,3.1750896172698473e-10,5.47912602928471e-07,3.1750896172698473e-10,0.009195702829438965,0.0005795128350322969
0.035,2.737113945508026e-07,-2.683074235364697e-07,9.514839869583452e-05,7.251612920912432e-05,2.7355507048444173e-07,-2.681884039002716e-07,1.9571573271007902e-10,3.698536948190908e-10,24,24,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,5.3666665841701195e-09,4.18445221745423e-10,5.417434743847133e-07,4.18445221745423e-10,0.009906287455082548,0.0007724426282749786
0.04,2.732123039250673e-07,-2.673646404337202e-07,9.188528552532304e-05,6.84937617287708e-05,2.731646997442782e-07,-2.6714861313876295e-07,1.1865122499453691e-10,3.1403945412461304e-10,37,29,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,6.0160866055152534e-09,3.3570655629521024e-10,5.403133128830411e-07,3.3570655629521024e-10,0.011134440818076836,0.0006213568264655071
0.045,2.702425051693038e-07,-2.639070034017073e-07,9.0559925752709e-05,6.78205474900234e-05,2.700340296213771e-07,-2.636476368838685e-07,1.1845881991083416e-10,3.2126094780961486e-10,35,27,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,6.386392737508604e-09,3.4240486065796367e-10,5.336816665052457e-07,3.4240486065796367e-10,0.01196667065467918,0.0006416360120018382
0.05,2.666792360136726e-07,-2.601084073952519e-07,8.779997894163109e-05,6.387274961116314e-05,2.6653284634391824e-07,-2.598215343574488e-07,1.2757973395360037e-10,4.077261255070623e-10,33,25,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,6.711311986469423e-09,4.272202967283649e-10,5.263543807013671e-07,4.272202967283649e-10,0.012750557860897066,0.0008117250259913878
