field,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
0.045,3.5103397593949973e-06,-3.480080090803261e-06,0.000113336084199,6.52910336182763e-05,3.509394868313548e-06,-3.47850114229295e-06,1.6763939830223087e-09,2.65132995206709e-09,37,49,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,3.0893726020598045e-08,3.136853088852183e-09,6.987896010606498e-06,3.136853088852183e-09,0.0044210340242193,0.0004489024650177,diode-lowfield_-2.5V/data.csv
0.05,3.4501999823765567e-06,-3.392990847243396e-06,0.0001155677395125,6.769967292349685e-05,3.450296959230616e-06,-3.391354666838687e-06,1.545888871732721e-09,2.406228477159412e-09,35,49,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,5.8942292391929e-08,2.8600188614832532e-09,6.841651626069303e-06,2.8600188614832532e-09,0.008615213929826,0.0004180459856576,diode-lowfield_-2.5V/data.csv
-0.05,7.350544453882399e-07,-7.388126331464101e-07,9.682935802316208e-05,8.18454377955088e-05,7.340767199200723e-07,-7.383987648405137e-07,5.990940033941334e-10,7.011699169355524e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,-4.3220449204414064e-09,9.222542368122899e-10,1.472475484760586e-06,9.222542368122899e-10,-0.0029352236863516,0.0006263317924182,diode-lowfield_-5.5V/data.csv
-0.045,7.544488758774437e-07,-7.550823138979456e-07,0.0001048488245526,8.658413075396067e-05,7.533789787832671e-07,-7.538467400416014e-07,6.120839963895151e-10,7.81132095576628e-10,21,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,-4.677612583343365e-10,9.923780375321162e-10,1.5072257188248685e-06,9.923780375321162e-10,-0.0003103458576191,0.0006584137152967,diode-lowfield_-5.5V/data.csv
-0.04,7.650909784807466e-07,-7.642826354238405e-07,0.000101053710709,8.594554213955802e-05,7.641455604273926e-07,-7.633741449858502e-07,1.0375917822702503e-09,4.819912569432214e-10,21,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,7.714154415424173e-10,1.1440770421630098e-09,1.5275197054132428e-06,1.1440770421630098e-09,0.0005050117774642,0.0007489770403612,diode-lowfield_-5.5V/data.csv
-0.035,7.733632806001527e-07,-7.722348827325528e-07,0.0001101606818391,9.397286445773538e-05,7.731609744315891e-07,-7.713250830005642e-07,5.56572005449784e-10,8.781722649365881e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,1.835891431024884e-09,1.039691744775465e-09,1.5444860574321532e-06,1.039691744775465e-09,0.0011886746547114,0.0006731640433314,diode-lowfield_-5.5V/data.csv
-0.03,7.822773535958165e-07,-7.793371886077551e-07,0.0001084565806131,9.193337456474982e-05,7.821591462315894e-07,-7.790724502796599e-07,3.6320387210048167e-10,6.396587282048375e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,3.0866959519295452e-09,7.355816346792606e-10,1.5612315965112494e-06,7.355816346792606e-10,0.00197709036816,0.0004711556401843,diode-lowfield_-5.5V/data.csv
-0.025,7.892735720275302e-07,-7.864151981966957e-07,0.0001171196323403,9.921903964933858e-05,7.902702154873942e-07,-7.864188766200626e-07,7.317605803431786e-10,8.239222496583381e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,3.851338867331623e-09,1.1019625313168514e-09,1.5766890921074568e-06,1.1019625313168514e-09,0.0024426748980572,0.0006989112973168,diode-lowfield_-5.5V/data.csv
-0.02,7.985520020963629e-07,-7.951137025163226e-07,0.0001101786086244,9.187292521419228e-05,7.985030579046122e-07,-7.9506900946606e-07,5.071346851540876e-10,5.439771581193722e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,3.434048438552147e-09,7.437047380795444e-10,1.593572067370672e-06,7.437047380795444e-10,0.002154937645348,0.0004666914538081,diode-lowfield_-5.5V/data.csv
-0.015,8.024811455328578e-07,-7.981195743018435e-07,0.0001085308372888,9.011952059333372e-05,8.022645356791565e-07,-7.981402174570138e-07,5.872229658323345e-10,4.197214418902799e-10,21,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,4.124318222142761e-09,7.218011501676752e-10,1.6004047531361704e-06,7.218011501676752e-10,0.0025770469714368,0.0004510131237436,diode-lowfield_-5.5V/data.csv
-0.01,8.122984808315313e-07,-8.068550498085595e-07,0.0001060641279057,9.301102703915157e-05,8.115058345411205e-07,-8.062861569045211e-07,1.0386338430489556e-09,7.101168615550065e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,5.219677636599453e-09,1.2581836976337655e-09,1.6177919914456417e-06,1.2581836976337655e-09,0.0032264207414793,0.0007777206544377,diode-lowfield_-5.5V/data.csv
