VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.725,1.1430323869792707e-07,-1.1014893124509556e-07,-7.187949070654676e-05,-3.826269678912986e-05,1.1390045234784641e-07,-1.098497120700607e-07,4.5116767283379155e-10,4.5792689767821376e-10,49,45,2023/11/Data_1124/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-144.hdf5,4.050740277785711e-09,6.42844703351791e-10,2.237501644179071e-07,6.42844703351791e-10,0.0181038538600578,0.0028735176236273
0.75,1.1465382415476705e-07,-1.1032944018276926e-07,-8.164873681466314e-05,-4.732689852384701e-05,1.146227152785855e-07,-1.103073546878374e-07,5.681259271315816e-10,4.931365572381482e-10,53,49,2023/11/Data_1124/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-144.hdf5,4.315360590748099e-09,7.52296971390828e-10,2.249300699664229e-07,7.52296971390828e-10,0.0191853432108578,0.0033451970673359
0.775,1.139108977468428e-07,-1.0933309480582884e-07,-9.182812634721636e-05,-6.006438109422635e-05,1.1358005082556889e-07,-1.0907568359077413e-07,5.836597851092663e-10,5.6473877460013e-10,49,47,2023/11/Data_1124/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-144.hdf5,4.504367234794761e-09,8.12150619214596e-10,2.2265573441634305e-07,8.12150619214596e-10,0.0202301874083874,0.0036483084296966
0.8,1.1351603850708081e-07,-1.0815149090360857e-07,-0.000120018320843,-8.484538170767745e-05,1.1349691624246105e-07,-1.0787179728940529e-07,3.7835418451352285e-10,4.1144529285300566e-10,47,51,2023/11/Data_1124/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-144.hdf5,5.6251189530557605e-09,5.589625371612919e-10,2.213687135318664e-07,5.589625371612919e-10,0.0254106321679735,0.0025258445976281
0.825,1.1174733541184801e-07,-1.0622943353903485e-07,-0.0001373783133999,-0.0001073955812514,1.1147875450388853e-07,-1.0546397366875034e-07,3.217765867581649e-10,4.0448293407005205e-10,45,41,2023/11/Data_1125/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-146.hdf5,6.014780835138183e-09,5.168622792772296e-10,2.169427281726389e-07,5.168622792772296e-10,0.0277252014197578,0.0023833981349637
0.85,1.0947708545809133e-07,-1.0337715087511304e-07,-0.0001423577211728,-0.00012133586785,1.0902348268145909e-07,-1.0260688570984505e-07,3.447909614954175e-10,4.25127821842691e-10,43,37,2023/11/Data_1125/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-148.hdf5,6.416596971614038e-09,5.47370507091536e-10,2.1163036839130414e-07,5.47370507091536e-10,0.0303198308465341,0.0025876345165451
0.875,1.052880558876146e-07,-9.836544651811017e-08,-0.0001681782849786,-0.000151566323833,1.0486514124237717e-07,-9.799666942714109e-08,5.702506722969508e-10,5.713311095515944e-10,43,41,2023/11/Data_1125/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-150.hdf5,6.8684718152360785e-09,8.07220580756326e-10,2.0286181066951825e-07,8.07220580756326e-10,0.0338578847963922,0.0039814449392506
0.9,9.917641674656581e-08,-9.32110258264032e-08,-0.0001639355990031,-0.0001640883851227,9.890562662058822e-08,-9.273303813715204e-08,7.227275736767664e-10,8.174344520756003e-10,41,37,2023/11/Data_1125/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-152.hdf5,6.172588483436179e-09,1.0911160475370354e-09,1.916386647577403e-07,1.0911160475370354e-09,0.0322095151896369,0.0056965638585137
0.925,9.250908902658789e-08,-8.719317440688768e-08,-0.000175956437355,-0.0001805734759828,9.225214698537213e-08,-8.68773103750105e-08,5.41902051182228e-10,7.153280645649301e-10,43,41,2023/11/Data_1125/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-154.hdf5,5.374836610361626e-09,8.97414103427016e-10,1.791294573603827e-07,8.97414103427016e-10,0.0300053195580681,0.0050121180812189
0.95,8.561934133022e-08,-8.230740093631156e-08,-0.0002100945114549,-0.00022398348802,8.565130514311099e-08,-8.193247857359747e-08,4.657609798668553e-10,4.1557142829301184e-10,43,43,2023/11/Data_1125/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-156.hdf5,3.7188265695135205e-09,6.242058173231222e-10,1.675837837167085e-07,6.242058173231222e-10,0.0221908497769688,0.0037256557560981
0.975,7.929645579003224e-08,-7.662278913102767e-08,-0.0002260453134322,-0.0002484091354004,7.798299073092464e-08,-7.610710502502805e-08,4.282672142715717e-10,5.20516960043844e-10,41,45,2023/11/Data_1126/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-160.hdf5,1.875885705896588e-09,6.740554224343996e-10,1.540900957559527e-07,6.740554224343996e-10,0.0121739537943282,0.0043747482050652
1.0,7.228994818989097e-08,-7.33420297987085e-08,-0.000258360779998,-0.0002842222271116,7.201408554986213e-08,-7.249714176314738e-08,4.1588920079741535e-10,4.2251251400768437e-10,39,43,2023/11/Data_1127/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-163.hdf5,-4.830562132852484e-10,5.92858036829228e-10,1.445112273130095e-07,5.92858036829228e-10,-0.0033426898537021,0.0041025279489727
