angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
150.0,-3.885986080717974e-06,3.8256865609355005e-06,-6.848919587503324e-05,-2.2318704045002337e-05,-3.887081291134052e-06,3.82601884443195e-06,1.852537769712997e-09,8.043852783295422e-10,17,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-6.106244670210189e-08,2.0196365673572317e-09,7.713100135566003e-06,2.0196365673572317e-09,-0.0079167190401866,0.0002618531875203
165.0,-3.911110837432338e-06,3.845640463055409e-06,-6.939130279743654e-05,-2.2971195530062204e-05,-3.911814998820181e-06,3.843732683528368e-06,1.877537826032413e-09,2.248454762612734e-09,17,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-6.808231529181274e-08,2.929282695080556e-09,7.755547682348549e-06,2.929282695080556e-09,-0.0087785309407311,0.0003777161435873
180.0,-3.925712646699774e-06,3.855681303641735e-06,-6.568859980567857e-05,-1.833715648022972e-05,-3.923029381373741e-06,3.855657633782401e-06,1.9870839318042638e-09,1.687641912402311e-09,19,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-6.737174759133964e-08,2.6070362054508607e-09,7.778687015156142e-06,2.6070362054508607e-09,-0.0086610693372893,0.0003351637597455
195.0,-3.920764385063159e-06,3.850839727242794e-06,-6.721907125701416e-05,-2.0951833722843343e-05,-3.920248364700916e-06,3.852231480136239e-06,1.6864985790580431e-09,2.238599636998408e-09,17,23,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-6.801688456467693e-08,2.802785363158264e-09,7.772479844837156e-06,2.802785363158264e-09,-0.0087509888635937,0.0003606175551996
210.0,-3.901564137117521e-06,3.837104645018187e-06,-5.628697177592245e-05,-1.0010523357852877e-05,-3.902888977317479e-06,3.839239762282675e-06,1.7325869429606431e-09,1.8886891715831123e-09,19,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-6.364921503480378e-08,2.5630068867978116e-09,7.742128739600153e-06,2.5630068867978116e-09,-0.0082211517239754,0.000331057979652
225.0,-3.875796885524337e-06,3.8162363848472894e-06,-5.50832377208261e-05,-9.204523331437388e-06,-3.875946866397131e-06,3.818490788647871e-06,2.0553467241249957e-09,2.2353924389446087e-09,19,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-5.745607774926047e-08,3.036680673442974e-09,7.694437655045001e-06,3.036680673442974e-09,-0.0074672224696743,0.0003946702111537
240.0,-3.841170300864728e-06,3.79616630786377e-06,-5.02142862242082e-05,-4.983763318807393e-06,-3.8404707976431375e-06,3.797844325564914e-06,1.818845770072501e-09,1.686045963141268e-09,21,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-4.2626472078223624e-08,2.48011107112879e-09,7.638315123208051e-06,2.48011107112879e-09,-0.0055806118745622,0.0003246985297354
255.0,-3.8109573738581065e-06,3.787104000387336e-06,-5.692998177299942e-05,-1.2385422173264476e-05,-3.812225334310017e-06,3.785976907581391e-06,1.932228396329649e-09,2.3714194809569154e-09,19,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-2.624842672862576e-08,3.058943760556021e-09,7.598202241891408e-06,3.058943760556021e-09,-0.0034545575246614,0.0004025902332928
270.0,-3.790921588065115e-06,3.7870557708732473e-06,-4.9184048438322894e-05,-4.30353854615766e-06,-3.7924629429894935e-06,3.787649038450424e-06,1.8371693713348227e-09,2.4041867458453588e-09,21,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-4.8139045390695315e-09,3.025773489187398e-09,7.580111981439917e-06,3.025773489187398e-09,-0.0006350703724241,0.0003991727439864
285.0,-3.786312749715621e-06,3.801655870854929e-06,-4.463552557306338e-05,-2.2279915476470498e-07,-3.7844568294450624e-06,3.8029425764851554e-06,1.529158373771581e-09,1.5398513284821175e-09,21,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,1.8485747040093014e-08,2.170130743965416e-09,7.587399405930218e-06,2.170130743965416e-09,0.0024363745798916,0.0002860185774749
300.0,-3.79564993889433e-06,3.8290142932496005e-06,-4.4306621200188815e-05,7.108358543506223e-07,-3.7904235279065455e-06,3.828406332389585e-06,2.444065662618425e-09,1.5960194794601675e-09,21,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,3.7982804483039795e-08,2.9190298288997913e-09,7.618829860296131e-06,2.9190298288997913e-09,0.0049853855748871,0.0003831383765073
315.0,-3.8057946705079047e-06,3.855846524453399e-06,-5.810805773564011e-05,-1.2397665700964566e-05,-3.80555150808134e-06,3.85635660701071e-06,1.900101353871588e-09,2.181269719480034e-09,19,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,5.0805098929369713e-08,2.892805341550853e-09,7.661908115092049e-06,2.892805341550853e-09,0.0066308676854654,0.0003775650782308
330.0,-3.826847187651509e-06,3.885680846935028e-06,-5.770043318831525e-05,-1.127344497460564e-05,-3.8266646995994834e-06,3.884736090185046e-06,1.984278400518795e-09,2.4392603133718583e-09,19,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,5.8071390585562456e-08,3.144415946905944e-09,7.71140078978453e-06,3.144415946905944e-09,0.0075305890808439,0.0004077735279124
345.0,-3.840980187690339e-06,3.905715360794654e-06,-5.357362862544096e-05,-6.474045845970685e-06,-3.842019278231194e-06,3.905987189074674e-06,1.665582241522399e-09,1.7109303958968795e-09,19,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,6.396791084348008e-08,2.38777030362609e-09,7.748006467305869e-06,2.38777030362609e-09,0.0082560476831562,0.0003081891697304
360.0,-3.855947033513703e-06,3.915715278040229e-06,-6.256941626766193e-05,-1.4938603494710968e-05,-3.854135570720366e-06,3.915097297226027e-06,1.6620850316221032e-09,2.505674924669484e-09,17,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,6.096172650566109e-08,3.0068145071586424e-09,7.769232867946393e-06,3.0068145071586424e-09,0.0078465567375604,0.0003870275378921
