VectorMagnet - Field Z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.83708436199281e-06,3.835910361477617e-06,-2.029988657415024e-05,2.598824252424189e-05,-3.835623456618747e-06,3.835833429801989e-06,4.556479895296511e-09,1.724142097927249e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,2.0997318324211285e-10,4.871773292147971e-09,7.671456886420737e-06,4.871773292147971e-09,2.7370704984836303e-05,0.0006350519029307673
0.005,-3.835743000521832e-06,3.835761671474606e-06,-2.7768285375416395e-05,1.7337148079877645e-05,-3.834743002066734e-06,3.83783010895268e-06,1.873733307503508e-09,2.353669125320757e-09,21,19,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,3.087106885946111e-09,3.0084273066065953e-09,7.672573111019414e-06,3.0084273066065953e-09,0.0004023561380617387,0.0003921015162180338
0.01,-3.825814225064409e-06,3.830735962868838e-06,-2.5617538845451263e-05,2.114276956572997e-05,-3.826846640479957e-06,3.830059362026649e-06,1.6847209037262524e-09,1.5107262399381544e-09,21,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,3.2127215466921214e-09,2.2628694826458454e-09,7.656906002506605e-06,2.2628694826458454e-09,0.00041958482259549587,0.0002955331671951763
0.015,-3.810708749922205e-06,3.817325917752139e-06,-2.0498688354516588e-05,2.55590983269816e-05,-3.812517187411089e-06,3.81851906241856e-06,2.453092739551506e-09,1.6735756159688451e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,6.0018750074714125e-09,2.9695991869620742e-09,7.63103624982965e-06,2.9695991869620742e-09,0.0007865085174514005,0.0003891476869237504
0.02,-3.7908500851335513e-06,3.7961684269856624e-06,-2.3322091187417407e-05,2.272144418209288e-05,-3.790866044368528e-06,3.796649236202911e-06,2.094806022250871e-09,1.8046256368803655e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,5.783191834383064e-09,2.7649386901239567e-09,7.587515280571439e-06,2.7649386901239567e-09,0.0007621983772726601,0.0003644064480956336
0.025,-3.7607057736625855e-06,3.770911075151808e-06,-2.7301386077237845e-05,1.8661393034201854e-05,-3.762002013329965e-06,3.769726140909653e-06,2.6242962149807092e-09,1.885243876682886e-09,21,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,7.724127579688075e-09,3.2312652473191356e-09,7.531728154239618e-06,3.2312652473191356e-09,0.0010255451898300598,0.00042902065507104174
0.03,-3.7256754654450527e-06,3.7357666824070666e-06,-2.3411945077618194e-05,2.249842270409421e-05,-3.725034507291593e-06,3.734355020364863e-06,1.749064390145436e-09,1.671693180283182e-09,21,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,9.320513073269873e-09,2.419459511932391e-09,7.4593895276564555e-06,2.419459511932391e-09,0.0012495007853810436,0.00032435112708010616
0.035,-3.676567629570108e-06,3.691455057054929e-06,-2.564023646136046e-05,2.0009969705980272e-05,-3.6784888641138936e-06,3.692003923759226e-06,2.722510180616354e-09,1.8130700279335847e-09,21,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,1.3515059645332434e-08,3.270976094341073e-09,7.37049278787312e-06,3.270976094341073e-09,0.0018336711037244542,0.0004437941515662374
0.04,-3.62079010096414e-06,3.6465520543151143e-06,-2.4910174389104943e-05,2.031204024688422e-05,-3.6217798952809937e-06,3.646980344120591e-06,2.068125145176159e-09,1.4523216353442562e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,2.52004488395974e-08,2.5271287558410877e-09,7.268760239401585e-06,2.5271287558410877e-09,0.003466952824086006,0.0003476719358329599
0.045,-3.555736108966649e-06,3.591227707719849e-06,-3.0375948068221595e-05,1.4518133678224837e-05,-3.554511800572776e-06,3.590762200534758e-06,1.4678277644443246e-09,1.6688238122594232e-09,21,19,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,3.625039996198182e-08,2.222496628217397e-09,7.145274001107534e-06,2.222496628217397e-09,0.005073339378778605,0.0003110482858818782
0.05,-3.470945913154808e-06,3.531811385623041e-06,-3.0127634860434576e-05,1.4130170011031867e-05,-3.472753561940383e-06,3.532872357605088e-06,1.6804798782572531e-09,2.014807825076361e-09,21,19,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,6.011879566470461e-08,2.623635491682571e-09,7.005625919545471e-06,2.623635491682571e-09,0.008581502403229255,0.0003745178696605979
