VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.01,2.024586372539022e-06,-2.0187002634200903e-06,5.4861941784928384e-06,-3.0751761380402354e-05,2.016918741585332e-06,-2.016255470720308e-06,3.141630158681826e-09,3.887998144835261e-09,49,49,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,6.632708650241495e-10,4.9986367769804625e-09,4.03317421230564e-06,4.9986367769804625e-09,0.0001644538098553839,0.0012393803444749048
0.0,2.0260271826063323e-06,-2.0170674428023926e-06,-3.684927101823241e-06,-4.1071714721873136e-05,2.018618916421576e-06,-2.012666717165144e-06,4.573474973203872e-09,2.898745847487423e-09,49,49,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,5.9521992564319785e-09,5.414739219837622e-09,4.03128563358672e-06,5.414739219837622e-09,0.0014765014929334543,0.0013431807155862428
0.01,2.0261072211124616e-06,-2.0125221067576576e-06,3.28272072424586e-06,-3.38429677757632e-05,2.020353468995371e-06,-2.010468981087595e-06,4.391822616436304e-09,4.419698422317304e-09,51,51,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,9.884487907775643e-09,6.2307174577632304e-09,4.030822450082966e-06,6.2307174577632304e-09,0.00245222607301202,0.0015457729207458905
0.02,2.032443428924877e-06,-2.016986961814344e-06,1.389446460505778e-05,-2.206322081500379e-05,2.028444670395116e-06,-2.015419814862025e-06,3.9867531912382195e-09,4.020079669398993e-09,49,53,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,1.3024855533090961e-08,5.661734853926245e-09,4.043864485257141e-06,5.661734853926245e-09,0.003220893177943063,0.0014000875257671954
0.03,2.021487824294912e-06,-2.0064760231170203e-06,6.155060571593972e-06,-3.2133844873352545e-05,2.018141413986024e-06,-2.001662248638512e-06,3.632329593122606e-09,3.939178214750138e-09,49,51,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,1.6479165347511666e-08,5.358259351751865e-09,4.019803662624536e-06,5.358259351751865e-09,0.004099495082491763,0.0013329766392476791
0.04,2.009476808299328e-06,-1.9929810762805498e-06,-1.1420537668518483e-05,-5.086936473508376e-05,2.003321528214405e-06,-1.9854385943848364e-06,4.271288491824521e-09,4.298694101699991e-09,51,47,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,1.78829338295685e-08,6.059923791631615e-09,3.988760122599241e-06,6.059923791631615e-09,0.004483331481441717,0.0015192652624099361
0.05,1.9865259943464903e-06,-1.968987461379723e-06,-2.144113218373053e-05,-6.432361071462365e-05,1.984299303993979e-06,-1.961713828858697e-06,4.570580285720077e-09,5.813520665627377e-09,43,38,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-098.hdf5,2.258547513528211e-08,7.395081248903869e-09,3.946013132852676e-06,7.395081248903869e-09,0.005723618846385968,0.0018740947203345845
0.06,1.9605566867397208e-06,-1.928644564810007e-06,-2.652345591233983e-05,-6.518344399220348e-05,1.9519587054716382e-06,-1.9224491322672884e-06,4.8306358514064115e-09,4.5817718969153105e-09,43,41,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-099.hdf5,2.9509573204349865e-08,6.657903306916966e-09,3.874407837738926e-06,6.657903306916966e-09,0.007616537659486932,0.0017184810430195927
0.07,1.923397836314619e-06,-1.896123584973409e-06,-2.933959788776808e-05,-6.718122028346677e-05,1.919120246801965e-06,-1.8841360268192635e-06,4.516579623396772e-09,5.000811145826719e-09,41,39,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-100.hdf5,3.498421998270128e-08,6.738516425052897e-09,3.803256273621228e-06,6.738516425052897e-09,0.009198491362611083,0.0017718504919739032
0.08,1.8909264436670328e-06,-1.855744657130494e-06,-2.9526068621091592e-05,-6.64660517257131e-05,1.8797557923801343e-06,-1.8416441048035844e-06,6.3839886151105665e-09,5.695169270795955e-09,39,43,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-101.hdf5,3.811168757654996e-08,8.555130838326194e-09,3.7213998971837185e-06,8.555130838326194e-09,0.010241223364732216,0.002299021794314608
0.09,1.8533125232194208e-06,-1.8012186923252848e-06,-2.585352198071888e-05,-6.627445996121234e-05,1.843183308958396e-06,-1.7956160042066672e-06,5.543850643791191e-09,5.953034327989524e-09,43,43,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-102.hdf5,4.756730475172878e-08,8.134672560766395e-09,3.638799313165063e-06,8.134672560766395e-09,0.013072252866386927,0.002235728566701032
0.1,1.802523908083748e-06,-1.7577161989481632e-06,-3.2309713826576026e-05,-6.748320485907768e-05,1.797357443704983e-06,-1.7483752011236956e-06,4.450568979279411e-09,5.819735980798204e-09,41,43,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-103.hdf5,4.898224258128741e-08,7.326451468857309e-09,3.5457326448286786e-06,7.326451468857309e-09,0.013814420738327865,0.0020664701072918615
0.11,1.7691181837429503e-06,-1.6986212679471458e-06,-2.366925803401239e-05,-6.126598710918548e-05,1.7584615785724595e-06,-1.6967655238906545e-06,5.837140115874992e-09,6.0509560874208295e-09,37,45,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-104.hdf5,6.169605468180505e-08,8.40751296783135e-09,3.4552271024631142e-06,8.40751296783135e-09,0.017855860946976256,0.0024336614939559895
0.12,1.7211077979098863e-06,-1.6552030379712126e-06,-2.396874371021507e-05,-6.15358478431566e-05,1.7164822979083838e-06,-1.6525115535844395e-06,5.341925255633931e-09,5.2780028582987344e-09,39,47,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-104.hdf5,6.397074432394427e-08,7.509559215359398e-09,3.3689938514928233e-06,7.509559215359398e-09,0.018988085803599317,0.0022294231454481877
0.13,1.684353295313134e-06,-1.6162362236931388e-06,-2.68355464979974e-05,-5.700228041510388e-05,1.674031487186325e-06,-1.6069371316364867e-06,5.763978771029659e-09,6.61590218464337e-09,39,41,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-104.hdf5,6.709435554983823e-08,8.7746004461542e-09,3.280968618822812e-06,8.7746004461542e-09,0.020449557232861067,0.002674952422435681
0.14,1.6432803863945685e-06,-1.5622876913388375e-06,-2.6768690773855016e-05,-5.734305557055492e-05,1.6359959306054523e-06,-1.5592764885472636e-06,5.235974136265175e-09,5.304120361303883e-09,39,43,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-104.hdf5,7.671944205818868e-08,7.453128065640378e-09,3.195272419152716e-06,7.453128065640378e-09,0.02401029771306079,0.002333220809185901
0.15,1.6011141196132646e-06,-1.5170360025183151e-06,-2.639460524316056e-05,-4.897333268980226e-05,1.5969694080951336e-06,-1.5118340994795056e-06,4.876076823091281e-09,5.396788678181053e-09,39,45,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-104.hdf5,8.5135308615628e-08,7.27333851966421e-09,3.108803507574639e-06,7.27333851966421e-09,0.027385233067382594,0.002340471282440377
