VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
1.6060000000000008,-3.6000000000000005e-08,4.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,7.999999999999992e-09,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0999999999999999,0.035531676008879735
1.6080000000000008,-3.8e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.03721614637823934
1.6100000000000008,-3.6000000000000005e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.039283710065919304
1.6120000000000008,-3.8e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.03721614637823934
1.6140000000000008,-3.6000000000000005e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05263157894736836,0.03726765664009338
1.6160000000000008,-3.8e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.05555555555555559,0.039344286370314695
1.6180000000000008,-3.6000000000000005e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05263157894736836,0.03726765664009338
1.6200000000000008,-3.4e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05555555555555559,0.039344286370314695
1.6220000000000008,-3.8e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.03721614637823934
1.6240000000000008,-4e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-1.999999999999998e-09,7.800000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.025641025641025612,0.03627380466570341
1.6260000000000008,-3.6000000000000005e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05263157894736836,0.03726765664009338
1.6280000000000008,-3.4e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05555555555555559,0.039344286370314695
1.6300000000000008,-3.6000000000000005e-08,4.2000000000000006e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,6.000000000000001e-09,7.800000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.07692307692307693,0.03636901166584965
1.6320000000000008,-4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.035355339059327376
1.6340000000000008,-3.2e-08,5e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.7999999999999996e-08,8.199999999999999e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.2195121951219512,0.03531427026687884
1.6360000000000008,-4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.035355339059327376
1.6380000000000008,-3.4e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,2.0000000000000047e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.028571428571428636,0.040422590704130436
1.6400000000000008,-3.4e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05555555555555559,0.039344286370314695
1.6420000000000008,-3.4e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,2.0000000000000047e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.028571428571428636,0.040422590704130436
1.6440000000000008,-3.8e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.03721614637823934
1.6460000000000008,-4.2000000000000006e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-2.0000000000000047e-09,8.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.02439024390243908,0.03450327186198691
1.6480000000000008,-4.2000000000000006e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-2.0000000000000047e-09,8.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.02439024390243908,0.03450327186198691
1.6500000000000008,-3.4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,6.000000000000001e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.08108108108108109,0.03834742074041399
1.6520000000000008,-3.6000000000000005e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.039283710065919304
1.6540000000000008,-3.6000000000000005e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.999999999999998e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.027027027027027,0.038235945444272904
1.6560000000000008,-3.8e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.05555555555555559,0.039344286370314695
1.6580000000000008,-4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.035355339059327376
1.6600000000000008,-3.2e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.999999999999998e-09,6.600000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.03030303030303027,0.04287462820910469
1.6620000000000008,-3.6000000000000005e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05263157894736836,0.03726765664009338
1.6640000000000008,-4.2000000000000006e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-2.0000000000000047e-09,8.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.02439024390243908,0.03450327186198691
1.6660000000000008,-3.6000000000000005e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05263157894736836,0.03726765664009338
1.6680000000000008,-3.2e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.999999999999998e-09,6.600000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.03030303030303027,0.04287462820910469
1.6700000000000008,-3.8e-08,4.2000000000000006e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,4.000000000000003e-09,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05000000000000003,0.03539950564626574
1.6720000000000008,-3.4e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.04159451654038515
1.6740000000000008,-3.8e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-1.999999999999998e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.027027027027027,0.038235945444272904
1.6760000000000008,-3.6000000000000005e-08,4.6e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,9.999999999999997e-09,8.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.12195121951219508,0.03474855887331406
1.6780000000000008,-3e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.0000000000000004e-08,6.999999999999999e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.14285714285714293,0.04081632653061225
1.6800000000000008,-3.8e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-1.999999999999998e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.027027027027027,0.038235945444272904
1.6820000000000008,-4e-08,3.2e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-7.999999999999999e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.11111111111111108,0.039525458255758324
1.6840000000000008,-3.2e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,4.000000000000003e-09,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05882352941176475,0.041666417227655
1.6860000000000008,-3.6000000000000005e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05263157894736836,0.03726765664009338
1.6880000000000008,-4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.035355339059327376
1.6900000000000008,-3.8e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.03721614637823934
1.6920000000000008,-3.8e-08,3.2e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-6.000000000000001e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.08571428571428572,0.04055426072938521
1.6940000000000008,-4.6e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-1.2000000000000002e-08,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.15000000000000002,0.03575087411518773
1.6960000000000008,-4e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.05263157894736836,0.03726765664009338
1.6980000000000008,-3.6000000000000005e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.039283710065919304
1.7000000000000008,-3.6000000000000005e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.039283710065919304
1.7020000000000008,-3.4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,6.000000000000001e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.08108108108108109,0.03834742074041399
1.7040000000000008,-3.8e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.999999999999998e-09,7.800000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.025641025641025612,0.03627380466570341
1.7060000000000008,-3.8e-08,3e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-8.000000000000005e-09,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.1176470588235295,0.04188137867442977
1.7080000000000009,-3.8e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.05555555555555559,0.039344286370314695
1.7100000000000009,-3.6000000000000005e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05263157894736836,0.03726765664009338
1.7120000000000009,-4.2000000000000006e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-8.000000000000005e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.1052631578947369,0.03742176201137478
1.7140000000000009,-3.4e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05555555555555559,0.039344286370314695
1.7160000000000009,-3.6000000000000005e-08,3.2e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-4.000000000000003e-09,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.05882352941176475,0.041666417227655
1.7180000000000009,-3.6000000000000005e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-2.0000000000000047e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.028571428571428636,0.040422590704130436
1.7200000000000009,-3.6000000000000005e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-2.0000000000000047e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.028571428571428636,0.040422590704130436
1.7220000000000009,-3.8e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.999999999999998e-09,7.800000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.025641025641025612,0.03627380466570341
1.7240000000000009,-4.4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-3.999999999999996e-09,8.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.047619047619047575,0.03370990645650455
1.7260000000000009,-3.8e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.05555555555555559,0.039344286370314695
1.7280000000000009,-3.8e-08,4.2000000000000006e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,4.000000000000003e-09,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05000000000000003,0.03539950564626574
1.7300000000000009,-2.8e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.2000000000000002e-08,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.17647058823529413,0.04223721666343842
1.7320000000000009,-3.4e-08,2.6e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-7.999999999999999e-09,6.000000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.1333333333333333,0.04755763235340598
1.7340000000000009,-4e-08,3.4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-6.000000000000001e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.08108108108108109,0.03834742074041399
1.7360000000000009,-3.4e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05555555555555559,0.039344286370314695
1.7380000000000009,-3e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.0000000000000004e-08,6.999999999999999e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.14285714285714293,0.04081632653061225
