VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
-0.1599999999999999,-3.2800000000000004e-06,2.7e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-5.800000000000004e-07,5.98e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.096989966555184,0.0047520059648273,2.6797104072398354e-06,-3.2846153846154048e-06,-6.049049773755694e-07,-0.10141074876535672
-0.1579999999999999,-3.3e-06,2.66e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.400000000000002e-07,5.9600000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1073825503355705,0.0047729659355869,2.702063348416306e-06,-3.3164343891402918e-06,-6.143710407239857e-07,-0.10207158416349825
-0.1559999999999999,-3.34e-06,2.7e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.400000000000002e-07,6.04e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1059602649006623,0.0047090413865902,2.7216832579185685e-06,-3.3516561085973052e-06,-6.299728506787368e-07,-0.10372834875466412
-0.1539999999999999,-3.38e-06,2.7600000000000003e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.199999999999996e-07,6.1400000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1009771986970683,0.0046299844183605,2.7438009049773924e-06,-3.387420814479659e-06,-6.436199095022663e-07,-0.1050153348288037
-0.1519999999999999,-3.42e-06,2.7600000000000003e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.599999999999996e-07,6.18e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1067961165048543,0.0046027687377962,2.7668235294117817e-06,-3.418099547511333e-06,-6.512760180995513e-07,-0.10531068656032938
-0.1499999999999999,-3.46e-06,2.8000000000000003e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.599999999999996e-07,6.26e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1054313099041533,0.0045432967106645,2.7933393665158544e-06,-3.4487782805430073e-06,-6.55438914027153e-07,-0.10503269535355143
-0.1479999999999999,-3.48e-06,2.82e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.6e-07,6.300000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1047619047619047,0.0045141362614274,2.8163981900452665e-06,-3.4817194570135955e-06,-6.653212669683296e-07,-0.10568297853832526
-0.1459999999999999,-3.54e-06,2.86e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.799999999999998e-07,6.4e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1062499999999999,0.0044442929136087,2.844000000000017e-06,-3.519239819004546e-06,-6.752398190045288e-07,-0.10616326408316862
-0.1439999999999999,-3.56e-06,2.86e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.999999999999997e-07,6.42e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1090342679127725,0.0044317605725804,2.870552036199113e-06,-3.5555294117647278e-06,-6.849773755656149e-07,-0.10656837151491677
-0.1419999999999999,-3.58e-06,2.9e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.799999999999998e-07,6.480000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1049382716049382,0.0043888238627248,2.8889230769230947e-06,-3.5887782805430085e-06,-6.998552036199138e-07,-0.10800652351425913
