VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.04,-4.035782092947742e-06,3.86571731982591e-06,-3.2586581072376043e-05,-2.418161323687089e-05,-4.036184613064093e-06,3.863167484758803e-06,2.602217918631688e-09,3.190357851102442e-09,51,53,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-1.7301712830528948e-07,4.117028213910955e-09,7.899352097822896e-06,4.117028213910955e-09,-0.021902698621697584,0.0005213105545604891
-0.03,-4.096018246620249e-06,3.970951023946292e-06,-3.5969646726420336e-05,-2.7339030311264217e-05,-4.096800549057594e-06,3.970763539387722e-06,3.073058547619493e-09,2.935455546411218e-09,51,51,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-1.260370096698718e-07,4.249775064877389e-09,8.067564088445316e-06,4.249775064877389e-09,-0.015622684652779766,0.0005268372961499478
-0.02,-4.13285576296806e-06,4.0457357777235785e-06,-3.665302806824221e-05,-2.82766756677827e-05,-4.13415511435231e-06,4.046935623007359e-06,3.650720830631484e-09,1.978742738366805e-09,51,51,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-8.721949134495106e-08,4.152491469930552e-09,8.18109073735967e-06,4.152491469930552e-09,-0.010661107931080093,0.0005076007076583643
-0.01,-4.145650286199131e-06,4.0965144438467725e-06,-4.18119279067378e-05,-3.354414717197148e-05,-4.147292062435872e-06,4.098485680155735e-06,4.2301276553673755e-09,2.1919772141544736e-09,49,51,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-4.880638228013659e-08,4.7643198977478725e-09,8.245777742591607e-06,4.7643198977478725e-09,-0.005918954379286603,0.0005777991479262262
0.0,-4.140670574927574e-06,4.13577475493822e-06,-4.143048616923951e-05,-3.3242815848432985e-05,-4.140370382719523e-06,4.135283169705447e-06,3.364823894483575e-09,2.5149597122006267e-09,49,51,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-5.087213014076261e-09,4.200840653354977e-09,8.275653552424969e-06,4.200840653354977e-09,-0.0006147203942080905,0.0005076144645800487
0.01,-4.11547954695419e-06,4.153231976800538e-06,-4.8809802075993e-05,-3.972597389833344e-05,-4.104720110203685e-06,4.155384846538431e-06,2.757467912069681e-08,2.37794412013986e-09,43,45,2024/01/Data_0111/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-145.hdf5,5.066473633474592e-08,2.7677022001073387e-08,8.260104956742117e-06,2.7677022001073387e-08,0.006133667380750655,0.0033507495088575174
0.02,-4.064126804556516e-06,4.145562269984774e-06,-4.52621093865051e-05,-3.685249248595735e-05,-4.064848867435624e-06,4.146858645976406e-06,2.3753845116885363e-09,2.1986694824041876e-09,45,47,2024/01/Data_0111/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-145.hdf5,8.200977854078217e-08,3.2367574934222804e-09,8.21170751341203e-06,3.2367574934222804e-09,0.009986933704937386,0.00039418341427011717
0.03,-3.99443909835862e-06,4.115400359531243e-06,-4.014722847675028e-05,-3.1821793435750816e-05,-3.994081892113656e-06,4.115847984597368e-06,2.212668924792095e-09,2.797041342008879e-09,45,45,2024/01/Data_0111/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-145.hdf5,1.2176609248371222e-07,3.5664189377648046e-09,8.109929876711024e-06,3.5664189377648046e-09,0.015014444555603773,0.0004398090938599685
0.04,-3.893408127837294e-06,4.058657251159244e-06,-3.4023140412014565e-05,-2.525973515488397e-05,-3.893377043327259e-06,4.05937801296969e-06,2.4285713846467747e-09,2.640197382367391e-09,45,41,2024/01/Data_0111/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-145.hdf5,1.6600096964243066e-07,3.5872832600987584e-09,7.95275505629695e-06,3.5872832600987584e-09,0.02087339148098016,0.0004511725353681683
0.05,-3.757975386694861e-06,3.981979758278909e-06,-3.336536198793911e-05,-2.445262511517576e-05,-3.756254804240524e-06,3.982356882680914e-06,3.052554729998243e-09,2.458104512143077e-09,45,43,2024/01/Data_0111/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-145.hdf5,2.2610207844038975e-07,3.919230558700623e-09,7.738611686921437e-06,3.919230558700623e-09,0.029217395521022368,0.0005066675003485682
0.06,-3.5787891326438923e-06,3.885531651570797e-06,-3.0099966100292208e-05,-2.069723826275017e-05,-3.5780660580710656e-06,3.886771488531633e-06,3.314683684644511e-09,3.397949456432224e-09,43,41,2024/01/Data_0111/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-145.hdf5,3.087054304605675e-07,4.746913569648868e-09,7.464837546602698e-06,4.746913569648868e-09,0.04135460799157801,0.0006364466608073701
0.07,-3.360484004929757e-06,3.7729820266538497e-06,-3.0345674861665986e-05,-2.023869444564485e-05,-3.357954178864842e-06,3.773919891449618e-06,2.1645661620864204e-09,2.6276832857959593e-09,43,39,2024/01/Data_0111/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-145.hdf5,4.159657125847759e-07,3.4044186171064488e-09,7.131874070314461e-06,3.4044186171064488e-09,0.058324881859058826,0.0004781638359025984
0.08,-3.127060528300547e-06,3.6503132766215713e-06,-3.0652098854256965e-05,-1.94102692215734e-05,-3.1256297088356725e-06,3.648344182066416e-06,1.6877932702741187e-09,2.352473262611071e-09,43,39,2024/01/Data_0111/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-145.hdf5,5.227144732307436e-07,2.895302501377461e-09,6.773973890902089e-06,2.895302501377461e-09,0.07716511484238003,0.00042868628201842864
