Vg increasing,gate 15 - Source voltage,ic+,ic-,datapath
0.0,0.20000000000003482,3.845679300528736e-06,-3.885574073551355e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,0.4000000000000341,3.826505335589413e-06,-3.8656598147276845e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,0.6000000000000334,3.825865008560873e-06,-3.884561606273877e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,0.8000000000000327,3.8252356235336405e-06,-3.846822519783618e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,1.000000000000032,3.825258907521655e-06,-3.845533138327136e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,1.2000000000000313,3.8007320427715795e-06,-3.8256246759779115e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,1.4000000000000306,3.8050463379937503e-06,-3.825619240117531e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,1.6000000000000298,3.7850609938897554e-06,-3.8046276946398536e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,1.8000000000000291,3.7653362423393207e-06,-3.785404257983061e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,2.0000000000000284,3.7655639565644137e-06,-3.8051681408886088e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,2.2000000000000277,3.7454582407626597e-06,-3.765468814929582e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,2.400000000000027,3.7052822945762287e-06,-3.725591650108779e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,2.6000000000000263,3.6850573532847105e-06,-3.7049748919563334e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,2.8000000000000256,3.666901301374219e-06,-3.7053642334378617e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,3.000000000000025,3.6845967616988177e-06,-3.7051422228177264e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,3.200000000000024,3.6650601429859433e-06,-3.6849454040928797e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,3.4000000000000234,3.6252549864194162e-06,-3.6452018139861665e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,3.6000000000000227,3.6054601978918206e-06,-3.644953412188219e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,3.800000000000022,3.6052461739065386e-06,-3.625546593278875e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,4.000000000000021,3.58586870303136e-06,-3.6249018090330287e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,4.200000000000021,3.565643865508676e-06,-3.5859019376470764e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,4.40000000000002,3.552205363487994e-06,-3.5851016749753344e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,4.600000000000019,3.5455968379431266e-06,-3.5657533929079386e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,4.8000000000000185,3.5453465336550786e-06,-3.5654313518550955e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,5.000000000000018,3.5066597845245184e-06,-3.5448619662450814e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,5.200000000000017,3.5053720891106104e-06,-3.525883962874956e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,5.400000000000016,3.465509416699678e-06,-3.5048441598864353e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
