Vg increasing,repeat,gate 15 - Source voltage,ic+,ic-,datapath
0.0,1.0,-2.999999999999954,3.646135534476266e-06,-3.6848472766695667e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.899999999999954,3.646181580087584e-06,-3.686087587474104e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.7999999999999545,3.6666612895065457e-06,-3.722025674780121e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.699999999999955,3.6858610431111222e-06,-3.726396278784803e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.5999999999999552,3.7060086367090226e-06,-3.7456180698003377e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.4999999999999556,3.750882096973821e-06,-3.7860620958961336e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.399999999999956,3.7456900763087414e-06,-3.7851560242125573e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.2999999999999563,3.7457301669766768e-06,-3.786178510723497e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.1999999999999567,3.7456584345116216e-06,-3.765875818008309e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-2.099999999999957,3.7269484579661624e-06,-3.769625771987861e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-1.9999999999999574,3.7655971504706755e-06,-3.805956911338816e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-1.8999999999999577,3.785869088304006e-06,-3.827870156300198e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-1.799999999999958,3.785810093115216e-06,-3.8257839465099645e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
