in-plane magnitude,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.1,1.953875475202171e-06,-2.1227420455574446e-06,-2.506395553205028e-05,-2.227529532628893e-05,1.953060619711916e-06,-2.119450558948138e-06,6.619686991323553e-10,2.0331399837490532e-09,33,33,2023/07/Data_0709/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-333.hdf5,-1.663899392362221e-07,2.138190999922617e-09,4.072511178660054e-06,2.138190999922617e-09,-0.040856840395701,0.0005254681406987
-0.08,2.163360176062376e-06,-2.278112592274194e-06,-2.751795501562837e-05,-2.5981321909771304e-05,2.162417091366633e-06,-2.276536479715372e-06,9.192023515999483e-10,1.7609607683404127e-09,33,33,2023/07/Data_0710/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-335.hdf5,-1.1411938834873905e-07,1.986432931367412e-09,4.438953571082004e-06,1.986432931367412e-09,-0.0257086240081853,0.000447648131705
-0.06,2.353916742785136e-06,-2.4113501921627583e-06,-2.478943947475556e-05,-2.527678525638974e-05,2.353422245448844e-06,-2.4102242942960804e-06,1.1946895838330238e-09,2.399204030729642e-09,33,33,2023/07/Data_0710/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-335.hdf5,-5.6802048847236497e-08,2.680198347657965e-09,4.763646539744924e-06,2.680198347657965e-09,-0.0119240687513893,0.0005626758531305
-0.04,2.493477921407854e-06,-2.511898069604041e-06,-2.5063626001225463e-05,-2.54745769452646e-05,2.4930794446372245e-06,-2.5119891404125434e-06,1.4320436762261866e-09,1.8516120324154794e-09,33,33,2023/07/Data_0710/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-335.hdf5,-1.8909695775318963e-08,2.340772566740561e-09,5.005068585049768e-06,2.340772566740561e-09,-0.0037781092214805,0.0004676837556022
-0.02,2.5683360295063213e-06,-2.572605213023201e-06,-2.664713663119066e-05,-2.8221151128373155e-05,2.5687953854977085e-06,-2.572122488655631e-06,9.553316759045735e-10,1.4185558053084463e-09,33,33,2023/07/Data_0710/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-335.hdf5,-3.327103157922719e-09,1.710251204870482e-09,5.14091787415334e-06,1.710251204870482e-09,-0.0006471807640908,0.0003326743598905
0.0,2.602562051105685e-06,-2.592391679033738e-06,-3.773396567187636e-05,-3.965173839874364e-05,2.6032837979549844e-06,-2.591573094730016e-06,2.154516931936683e-09,2.031687571624276e-09,35,35,2023/07/Data_0710/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-337.hdf5,1.171070322496835e-08,2.961367521719384e-09,5.1948568926850005e-06,2.961367521719384e-09,0.0022542879364893,0.0005700590232696
0.02,2.578616035592944e-06,-2.5574696179394386e-06,-4.031818437285663e-05,-4.305981792554156e-05,2.577982248863197e-06,-2.5576348115370977e-06,2.1972830126694637e-09,1.7350129257129347e-09,35,35,2023/07/Data_0710/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-339.hdf5,2.034743732609928e-08,2.7997004286453133e-09,5.135617060400295e-06,2.7997004286453133e-09,0.00396202385941,0.0005451579371994
0.04,2.5132569476333565e-06,-2.4757679328779973e-06,-4.683129636415911e-05,-4.889487777480531e-05,2.511070711958931e-06,-2.4750353191631465e-06,2.453236830168729e-09,2.18007461718264e-09,37,37,2023/07/Data_0710/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-341.hdf5,3.6035392795784295e-08,3.281934838076519e-09,4.986106031122077e-06,3.281934838076519e-09,0.0072271613501317,0.0006582332038777
0.06,2.4065990953947463e-06,-2.3319968152562726e-06,-5.250589883498088e-05,-5.3372825986706e-05,2.405864798184255e-06,-2.3311578547006813e-06,2.19000240329818e-09,1.7832135448704867e-09,19,19,2023/07/Data_0711/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-343.hdf5,7.470694348357386e-08,2.824174405567293e-09,4.737022652884936e-06,2.824174405567293e-09,0.0157708647304179,0.0005962660103781
0.08,2.275944695747251e-06,-2.145842556262384e-06,-6.271128983838352e-05,-6.161177928457975e-05,2.274865527993056e-06,-2.1443879659369e-06,1.8328697682881006e-09,1.4434020287187092e-09,35,35,2023/07/Data_0711/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-345.hdf5,1.3047756205615573e-07,2.3329854273042e-09,4.4192534939299566e-06,2.3329854273042e-09,0.0295247969448624,0.0005281439629136
0.1,2.120470904487312e-06,-1.9413403233794955e-06,-6.384304659117865e-05,-6.098553472807185e-05,2.118370922365477e-06,-1.9398324138936005e-06,1.440786193119248e-09,1.0683086701846804e-09,33,35,2023/07/Data_0711/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-348.hdf5,1.7853850847187657e-07,1.7936410647269466e-09,4.0582033362590775e-06,1.7936410647269466e-09,0.0439944708725355,0.0004424066230973
0.12,1.9448122954093226e-06,-1.741401605511376e-06,-6.304626031569351e-05,-5.871974850156598e-05,1.943657223499883e-06,-1.740658743002889e-06,1.1752817806102279e-09,8.818599588999872e-10,35,35,2023/07/Data_0711/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-350.hdf5,2.0299848049699385e-07,1.469341434434296e-09,3.684315966502772e-06,1.469341434434296e-09,0.0550980106870921,0.0003994147256323
0.14,1.7632567493537964e-06,-1.5627158418973648e-06,-6.545290202609399e-05,-5.9091006233711125e-05,1.7618300643424817e-06,-1.5613598314509155e-06,1.082826825119318e-09,1.0531946992104098e-09,33,35,2023/07/Data_0712/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-351.hdf5,2.0047023289156617e-07,1.5105406342243454e-09,3.323189895793397e-06,1.5105406342243454e-09,0.0603246396317369,0.0004553716944771
0.16,1.5740651410992932e-06,-1.3997703693046893e-06,-6.669686299800445e-05,-5.959425224975012e-05,1.5734720827477791e-06,-1.3994569696915846e-06,8.350474169263946e-10,8.624519272883213e-10,35,35,2023/07/Data_0712/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-351.hdf5,1.7401511305619455e-07,1.2004697061562127e-09,2.9729290524393635e-06,1.2004697061562127e-09,0.0585332209369109,0.0004044914674768
0.18,1.3861445130344448e-06,-1.2515253606712593e-06,-7.249362134242514e-05,-6.60141491257946e-05,1.3860977580967687e-06,-1.2510139841405552e-06,8.744787266962604e-10,8.754054376545323e-10,33,35,2023/07/Data_0712/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-353.hdf5,1.350837739562135e-07,1.2373551324173007e-09,2.637111742237324e-06,1.2373551324173007e-09,0.0512241372986373,0.0004698236349723
0.2,1.2072874624651504e-06,-1.1152004613544253e-06,-7.40953122810138e-05,-6.887324603820747e-05,1.2073403096111786e-06,-1.11473012331162e-06,6.73172968698363e-10,8.613825907133034e-10,33,33,2023/07/Data_0712/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-355.hdf5,9.261018629955857e-08,1.093225417455215e-09,2.322070432922799e-06,1.093225417455215e-09,0.0398825914091631,0.0004711719809104
0.22,1.0424680801889354e-06,-9.86379865689734e-07,-7.382871471126857e-05,-6.996875071357489e-05,1.0426491380679534e-06,-9.865524723123025e-07,5.79314608556059e-10,4.88621288745545e-10,35,35,2023/07/Data_0712/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-357.hdf5,5.6096665755650856e-08,7.57862902840492e-10,2.029201610380256e-06,7.57862902840492e-10,0.0276446980273876,0.0003736210508526
