gate,delta_slope,delta_slope_err,delta_yint,delta_yint_err,eta_slope,eta_slope_err,eta_yint,eta_yint_err,path,blim,quiet,parent_csv
-6.2,2.83894042605004e-07,3.5492287067472462e-09,-7.147673005645455e-10,4.5653159410811535e-11,0.379230400180181,0.0047395849215539,-0.0009555833765426,6.080377750445318e-05,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-6.2V/data.csv,0.02,True,diode-lowfield_-6.2V/fit_slope/fit.csv
-4.6,-1.243264236296664e-06,5.572730698427634e-08,-2.5968954806274722e-08,7.34512432141444e-10,-0.2181483606637846,0.0098071084158939,-0.0045504005376146,0.0001288772603012,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.6V/data.csv,0.02,True,diode-lowfield_-4.6V/fit_slope/fit.csv
-3.9,-4.1351772039006873e-07,7.29079322584707e-08,-2.3349520902747628e-08,9.491138538724814e-10,-0.056376142631718,0.0100186933395299,-0.0031993986921472,0.0001300653259328,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-3.9V/data.csv,0.02,True,diode-lowfield_-3.9V/fit_slope/fit.csv
-3.6,6.837134937307654e-08,1.060411460827399e-07,-1.0638734857394124e-08,1.429200532524219e-09,0.009208298639556,0.0139837190478149,-0.0013990953710207,0.0001878544534141,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-3.6V/data.csv,0.02,True,diode-lowfield_-3.6V/fit_slope/fit.csv
-3.5,3.980310670277852e-07,9.121925917243762e-08,-1.0438722120163307e-08,1.212409379399698e-09,0.0520448328303921,0.0118766944022869,-0.0013562191766825,0.0001573478222062,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-3.5V/data.csv,0.02,True,diode-lowfield_-3.5V/fit_slope/fit.csv
9.0,4.422512692115246e-06,5.4826678963718196e-08,-8.226176637887187e-09,6.795266045740728e-10,0.6429993167086256,0.0079704448200983,-0.0012051876006484,9.854311267727682e-05,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_9.0V/data.csv,0.02,True,diode-lowfield_9.0V/fit_slope/fit.csv
-5.4,-2.429306573436275e-07,3.6451740639228056e-08,-2.147857166821844e-08,4.747669819936207e-10,-0.0834169691909983,0.012625775020177,-0.0074148055813637,0.0001639464898884,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.4V/data.csv,0.02,True,diode-lowfield_-5.4V/fit_slope/fit.csv
-5.2,-5.144861690715803e-07,4.3564525439553664e-08,-2.1576088734340632e-08,5.618616206046474e-10,-0.1436636853954292,0.0122657573156953,-0.0060522080448996,0.0001577101309215,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.2V/data.csv,0.02,True,diode-lowfield_-5.2V/fit_slope/fit.csv
-1.0,3.953935172587657e-06,9.368277743221185e-08,-8.044702325206835e-09,1.2618072634876544e-09,0.4840038559075241,0.011463044204573,-0.000990216785929,0.0001538578882861,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-1.0V/data.csv,0.02,True,diode-lowfield_-1.0V/fit_slope/fit.csv
-4.3,-1.0380899129146877e-06,7.235674092591121e-08,-2.531170352608e-08,9.578803982514776e-10,-0.1583408347525238,0.0110610197993831,-0.0038555558162565,0.0001459580164321,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.3V/data.csv,0.02,True,diode-lowfield_-4.3V/fit_slope/fit.csv
