field,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
0.02,-2.867685083643561e-06,2.815443884496333e-06,-9.470176004725876e-05,-0.0001126027929647,-2.868172395328538e-06,2.8169451161160463e-06,1.627907660985177e-09,1.440998336356491e-09,45,43,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,-5.1227279212491766e-08,2.1740652147708003e-09,5.685117511444584e-06,2.1740652147708003e-09,-0.0090107687500508,0.0003824289417197,diode-lowfield_-4.6V/data.csv
0.025,-2.855731627275684e-06,2.798161391208669e-06,-9.284052900171652e-05,-0.0001103837364892,-2.855126339332984e-06,2.799458738520399e-06,1.191906726897681e-09,1.4038546873959662e-09,45,43,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,-5.566760081258492e-08,1.841588887061271e-09,5.654585077853382e-06,1.841588887061271e-09,-0.0098446835702607,0.0003256964217372,diode-lowfield_-4.6V/data.csv
0.03,-2.8347552366476395e-06,2.775234143771085e-06,-9.044939511086886e-05,-0.0001081221132429,-2.8356765803756985e-06,2.7761956498656613e-06,1.5845265219816831e-09,1.7043366361193815e-09,43,45,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,-5.9480930510037176e-08,2.3271200373169622e-09,5.611872230241359e-06,2.3271200373169622e-09,-0.0105991241549487,0.0004147013071866,diode-lowfield_-4.6V/data.csv
0.035,-2.809959613929359e-06,2.746763246313408e-06,-8.684631302689836e-05,-0.0001043644248411,-2.809480039708225e-06,2.748166616914035e-06,1.413468915469177e-09,1.437714978074592e-09,43,45,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,-6.131342279418988e-08,2.016164361647541e-09,5.55764665662226e-06,2.016164361647541e-09,-0.0110322635788893,0.0003627951140147,diode-lowfield_-4.6V/data.csv
0.04,-2.7744417306869946e-06,2.7176142890964183e-06,-8.697156637413527e-05,-0.0001042935406449,-2.773791304648005e-06,2.717010796790103e-06,1.7015888341337752e-09,1.6590866369876663e-09,43,45,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,-5.678050785790181e-08,2.376546450099342e-09,5.490802101438108e-06,2.376546450099342e-09,-0.0103410224606401,0.0004328463260679,diode-lowfield_-4.6V/data.csv
0.045,-2.7295412724678143e-06,2.6798638604925346e-06,-8.750154266589788e-05,-0.0001050303521921,-2.7293855209687847e-06,2.680327937275909e-06,1.2855919556383483e-09,1.515180430603767e-09,43,45,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,-4.905758369287556e-08,1.9870879229884744e-09,5.409713458244694e-06,1.9870879229884744e-09,-0.0090684255407482,0.0003673336198058,diode-lowfield_-4.6V/data.csv
0.05,-2.672716660215976e-06,2.637623431411492e-06,-8.433261442213527e-05,-0.0001018891696184,-2.673268566937697e-06,2.639149217460587e-06,1.348667065654271e-09,2.3873171764462276e-09,41,47,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,-3.4119349477109954e-08,2.741931099596722e-09,5.312417784398284e-06,2.741931099596722e-09,-0.0064225651787615,0.0005161468396734,diode-lowfield_-4.6V/data.csv
0.055,-2.608583161411788e-06,2.5972250607609894e-06,-8.471598210092153e-05,-0.0001025525561521,-2.6074660502205368e-06,2.596938817236718e-06,1.8244964669526998e-09,1.9373739036349e-09,41,45,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,-1.0527232983818862e-08,2.661241251823745e-09,5.204404867457254e-06,2.661241251823745e-09,-0.0020227544266674,0.0005113450555586,diode-lowfield_-4.6V/data.csv
0.06,-2.5306020251047373e-06,2.551246910131316e-06,-8.344887596900005e-05,-0.0001014194134724,-2.529095187460665e-06,2.551053206255312e-06,1.7654264857770271e-09,1.7294488885466131e-09,41,45,-4.6,2023/12/Data_1228/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-067.hdf5,2.1958018794646848e-08,2.471381017726352e-09,5.080148393715976e-06,2.471381017726352e-09,0.004322318383811,0.0004864826599129,diode-lowfield_-4.6V/data.csv
-0.06,-3.314768529176084e-06,3.208745480023588e-06,-6.450622640528499e-05,-7.311372704221941e-05,-3.3143163841847378e-06,3.2094329479523025e-06,2.180225249844308e-09,2.1514133829266584e-09,37,39,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.0488343623243528e-07,3.0629988057938587e-09,6.52374933213704e-06,3.0629988057938587e-09,-0.016077171407516,0.0004695757729545,diode-lowfield_-3.9V/data.csv
-0.055,-3.3639164140467987e-06,3.2925225108696546e-06,-7.45928469068898e-05,-8.348797900695592e-05,-3.3640682987116107e-06,3.2936486893400223e-06,2.024546583751044e-09,1.829734054024326e-09,39,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-7.041960937158835e-08,2.728867086949146e-09,6.6577169880516334e-06,2.728867086949146e-09,-0.0105771407072376,0.0004099032348199,diode-lowfield_-3.9V/data.csv
-0.05,-3.411884189490982e-06,3.362844359394365e-06,-8.199527896742008e-05,-9.160840008824168e-05,-3.409727598056956e-06,3.365529624074442e-06,2.2442187007942972e-09,1.8515393600935478e-09,41,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-4.4197973982513847e-08,2.9094184262444047e-09,6.775257222131398e-06,2.9094184262444047e-09,-0.0065234385254246,0.0004294272875126,diode-lowfield_-3.9V/data.csv
-0.045,-3.455670595099982e-06,3.42571349668688e-06,-8.744707042983523e-05,-9.743746756637492e-05,-3.4543762413220373e-06,3.4284540756487885e-06,2.3884924862970143e-09,2.5379818337238902e-09,43,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.592216567324876e-08,3.485146789650297e-09,6.882830316970826e-06,3.485146789650297e-09,-0.0037662072838455,0.0005063573190498,diode-lowfield_-3.9V/data.csv
