VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.65,3.93368794530806e-07,-3.959264742857978e-07,-0.0001004281949431,-9.628491692291634e-05,3.9319933329222665e-07,-3.959794951563609e-07,1.2142670652288284e-09,1.4838210985929727e-09,47,47,2023/05/Data_0525/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-070.hdf5,-2.7801618641342554e-09,1.91733397151594e-09,7.891788284485876e-07,1.91733397151594e-09,-0.0035228540907510848,0.002429545497039988
0.7,3.708083626552713e-07,-3.728033538691871e-07,-0.0001035895037901,-9.966718898803618e-05,3.703395252638105e-07,-3.722739055218886e-07,6.588466394755155e-10,7.160171382818927e-10,43,45,2023/05/Data_0525/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-071.hdf5,-1.9343802580780992e-09,9.730156405020275e-10,7.426134307856992e-07,9.730156405020275e-10,-0.002604828000527122,0.0013102630536660678
0.75,3.444953842000917e-07,-3.451384831157753e-07,-0.0001125420783462,-0.0001073331324485,3.44280739764881e-07,-3.453811873599277e-07,2.5709565857369043e-10,3.38744554983144e-10,43,43,2023/05/Data_0525/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-072.hdf5,-1.1004475950466906e-09,4.2525998070376656e-10,6.896619271248087e-07,4.2525998070376656e-10,-0.001595633384656221,0.0006166217176030612
0.8,3.076294423237057e-07,-3.076527229579809e-07,-0.0001084996033747,-0.0001023344863616,3.080648507093488e-07,-3.082928670323254e-07,4.323453110677216e-10,4.80671446884651e-10,45,47,2023/05/Data_0525/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-073.hdf5,-2.2801632297662634e-10,6.465040663850683e-10,6.163577177416742e-07,6.465040663850683e-10,-0.00036994153948793706,0.0010489105466109337
0.85,2.681787996495635e-07,-2.674391111703221e-07,-9.780315907847804e-05,-9.227970635218313e-05,2.688870642091912e-07,-2.683085420561543e-07,1.526936314299819e-09,1.4914025515547462e-09,45,45,2023/05/Data_0525/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-074.hdf5,5.785221530368915e-10,2.1344357752604136e-09,5.371956062653455e-07,2.1344357752604136e-09,0.0010769301652685762,0.003973295738279374
0.9,2.370714018806251e-07,-2.366014791285226e-07,-9.299416661717137e-05,-8.796763316811736e-05,2.3767813517921415e-07,-2.3678498597200645e-07,5.434508308338346e-10,5.741367698277804e-10,47,45,2023/05/Data_0525/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-075.hdf5,8.931492072077025e-10,7.90551602365249e-10,4.744631211512206e-07,7.90551602365249e-10,0.0018824417902925663,0.0016662053757519992
0.95,2.2219183686447293e-07,-2.2095491685634443e-07,-8.667701811119136e-05,-8.202217497328587e-05,2.2193769094380805e-07,-2.2100853414201854e-07,9.727798196693059e-10,1.207972596775119e-09,43,43,2023/05/Data_0525/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-076.hdf5,9.291568017895076e-10,1.5509669152227172e-09,4.4294622508582656e-07,1.5509669152227172e-09,0.0020976740497324962,0.0035014867261347477
1.0,2.16524871024663e-07,-2.149462132303951e-07,-8.974920300743734e-05,-8.570144572484437e-05,2.1673522577208854e-07,-2.1557529390781225e-07,5.559967913657871e-10,5.34923675286486e-10,45,45,2023/05/Data_0526/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-077.hdf5,1.1599318642762944e-09,7.715411657138279e-10,4.3231051967990076e-07,7.715411657138279e-10,0.002683098864064544,0.0017846985158956217
1.05,2.0749313626751459e-07,-2.0551895805761405e-07,-8.677763264704842e-05,-8.137027548633409e-05,2.0701965636125053e-07,-2.0522914539593482e-07,7.450196154144961e-10,8.528032043365556e-10,41,43,2023/05/Data_0526/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-078.hdf5,1.7905109653157137e-09,1.132399016548081e-09,4.1224880175718535e-07,1.132399016548081e-09,0.004343277549100858,0.002746908402140418
1.1,1.899819007901369e-07,-1.8808036507077365e-07,-9.529929850601533e-05,-9.245712078738246e-05,1.904911554559933e-07,-1.883271537555613e-07,6.364076061419203e-10,7.039460782311262e-10,47,45,2023/05/Data_0526/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-079.hdf5,2.164001700432001e-09,9.489756172907038e-10,3.788183092115546e-07,9.489756172907038e-10,0.005712505567473758,0.0025051352532755983
1.15,1.66519789163966e-07,-1.6419858447202372e-07,-9.221103072496526e-05,-8.898538470764659e-05,1.6571003569975773e-07,-1.6359387563726338e-07,6.615358341863335e-10,6.513287191793735e-10,47,47,2023/05/Data_0526/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-080.hdf5,2.1161600624943442e-09,9.283634850318334e-10,3.2930391133702114e-07,9.283634850318334e-10,0.00642616133498819,0.0028192275327210735
1.2,1.430321572176707e-07,-1.4085643252933993e-07,-0.0001050105194405,-0.0001031331473342,1.4229967446524868e-07,-1.4034112935279122e-07,7.78825577181905e-10,8.910525578260307e-10,43,47,2023/05/Data_0526/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-081.hdf5,1.958545112457456e-09,1.1834457911036903e-09,2.826408038180399e-07,1.1834457911036903e-09,0.006929449272718383,0.00418720222873737
1.25,1.2520892938271752e-07,-1.2245335734449705e-07,-0.0001246495219156,-0.0001259271662098,1.2375223115410446e-07,-1.2140918162396372e-07,9.165537314336167e-10,7.167743665769654e-10,39,37,2023/05/Data_0526/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-082.hdf5,2.343049530140745e-09,1.1635446855134943e-09,2.4516141277806815e-07,1.1635446855134943e-09,0.00955717094134135,0.004746251907749934
1.3,1.0844946553074945e-07,-1.0727291874324869e-07,-0.0001362094996546,-0.0001355642433124,1.0758546223074277e-07,-1.0594504223121197e-07,9.112871178069652e-10,7.007009698999586e-10,39,37,2023/05/Data_0526/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-083.hdf5,1.640419999530805e-09,1.149532974863996e-09,2.1353050446195473e-07,1.149532974863996e-09,0.007682368398202716,0.005383619072504057
