VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.025,-3.918916784112467e-06,3.9626304458037845e-06,-5.228097092882031e-05,-5.3214194128004845e-05,-3.926636557257769e-06,3.961827809187826e-06,6.542603484245235e-09,7.965148702739746e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,3.5191251930056395e-08,1.0307727887794409e-08,7.888464366445595e-06,1.0307727887794409e-08,0.0044611029847261,0.0013066967127902
0.0375,-3.830647284035008e-06,3.895625218165266e-06,-4.801701413098646e-05,-4.784048244468079e-05,-3.837597660711277e-06,3.8843203385668905e-06,6.001119382764145e-09,8.462384227684921e-09,37,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,4.672267785561329e-08,1.0374265307151058e-08,7.721917999278168e-06,1.0374265307151058e-08,0.0060506570854521,0.0013435075598639
0.05,-3.679281718848784e-06,3.786649189984852e-06,-4.094292390545957e-05,-4.1174833239500654e-05,-3.678424959653272e-06,3.776721381420829e-06,9.065391793478671e-09,9.721085062895674e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,9.829642176755713e-08,1.3292133883215434e-08,7.455146341074101e-06,1.3292133883215434e-08,0.0131850425559044,0.0017831023849365
0.0625,-3.447089664283566e-06,3.6348074710669135e-06,-3.845878584169072e-05,-3.793551332152739e-05,-3.436680795037984e-06,3.6335578782326818e-06,1.2859292013055143e-08,9.669696576260806e-09,35,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,1.968770831946979e-07,1.6089264214188726e-08,7.070238673270666e-06,1.6089264214188726e-08,0.0278458892680667,0.0022765144863028
0.075,-3.123643574129461e-06,3.4826246821781995e-06,-3.850271319216681e-05,-3.7638990231491966e-05,-3.109292907162384e-06,3.4659123030372e-06,1.0085818132109596e-08,9.562792600572245e-09,35,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,3.566193958748159e-07,1.3898587328054242e-08,6.575205210199584e-06,1.3898587328054242e-08,0.0542369986143734,0.0021168943440213
0.0875,-2.7979274486472907e-06,3.2900752557190905e-06,-3.6315241756478206e-05,-3.34617093730542e-05,-2.7952279455108223e-06,3.278798530830656e-06,3.913310082073772e-09,8.482023335744685e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,4.835705853198335e-07,9.341237373419953e-09,6.074026476341478e-06,9.341237373419953e-09,0.0796128543731832,0.0015427647535054
0.1,-2.5459511590225987e-06,3.0815716419878164e-06,-3.471952033337105e-05,-3.0722203853997235e-05,-2.549666045341669e-06,3.077160692443127e-06,3.3671354490326162e-09,9.073184094567068e-09,39,35,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,5.274946471014582e-07,9.677823657519128e-09,5.626826737784796e-06,9.677823657519128e-09,0.09374638169668,0.001727484655264
0.1125,-2.364053190968907e-06,2.870642519530241e-06,-3.4602702754114584e-05,-2.975480070768544e-05,-2.364519889515889e-06,2.866550479319337e-06,2.4011907635389902e-09,5.725256566780332e-09,39,35,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,5.020305898034484e-07,6.2084039686835994e-09,5.231070368835226e-06,6.2084039686835994e-09,0.0959709111913997,0.0011922855147472
0.125,-2.212348088384252e-06,2.654348698284861e-06,-3.432142966175667e-05,-3.005933268411183e-05,-2.213107188818093e-06,2.6505531442984672e-06,1.95259554600476e-09,5.875682730629479e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,4.374459554803742e-07,6.191629584955411e-09,4.86366033311656e-06,6.191629584955411e-09,0.0899417158105828,0.0012781778222522
0.1375,-2.0805684318263268e-06,2.4396571135228847e-06,-3.3465700283542145e-05,-3.1305039739862794e-05,-2.0789218752923568e-06,2.4355832776353e-06,2.232769296439472e-09,4.923417115987004e-09,39,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,3.566614023429432e-07,5.4060424368586495e-09,4.514505152927657e-06,5.4060424368586495e-09,0.0790034323278262,0.001201214093466
0.15,-1.952472310446488e-06,2.225619994381483e-06,-3.337446745296555e-05,-3.143554077836959e-05,-1.9531678493415245e-06,2.2222337946270306e-06,2.686590830168752e-09,4.6917884049716155e-09,39,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,2.6906594528550613e-07,5.406537591266051e-09,4.175401643968555e-06,5.406537591266051e-09,0.064440733665509,0.0012975402223585
0.1625,-1.827980178921012e-06,2.023756574838966e-06,-3.374562098693727e-05,-3.3707144279703786e-05,-1.8298424985242008e-06,2.0200113132024603e-06,2.8556177664133166e-09,3.974087574325954e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,1.9016881467825962e-07,4.893661704313788e-09,3.849853811726661e-06,4.893661704313788e-09,0.049396372947722,0.0012726790620723
0.175,-1.7045820745311982e-06,1.8423590979228355e-06,-3.240228631519809e-05,-3.234076751845828e-05,-1.7077318835039271e-06,1.8412974618334472e-06,3.205613405793558e-09,4.421870094450411e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,1.3356557832952014e-07,5.4615833271678885e-09,3.5490293453373744e-06,5.4615833271678885e-09,0.0376343967132859,0.0015399843668821
0.1875,-1.5829813534037757e-06,1.6811495370824696e-06,-3.649019306155776e-05,-3.7968838343145575e-05,-1.5870558862839035e-06,1.6840694074926509e-06,3.388045754906e-09,5.2511548058324975e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,9.701352120874737e-08,6.2492784249186965e-09,3.2711252937765544e-06,6.2492784249186965e-09,0.0296575375432177,0.0019112768838888
0.2,-1.4718451257498282e-06,1.552113914022788e-06,-3.827052019405883e-05,-3.823094415754141e-05,-1.4709678208169043e-06,1.554562076693758e-06,3.560529031708623e-09,3.5596562659076606e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,8.359425587685376e-08,5.034731345072507e-09,3.025529897510662e-06,5.034731345072507e-09,0.0276296247958525,0.0016647175524183
0.2125,-1.360631088415434e-06,1.4389633165863071e-06,-4.371292879210839e-05,-4.399038106372292e-05,-1.3641012545677989e-06,1.4417966702000102e-06,3.325719425745415e-09,4.184107567839581e-09,41,41,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,7.769541563221134e-08,5.3448260811772786e-09,2.8058979247678093e-06,5.3448260811772786e-09,0.027690036385996,0.0019055841918904
0.225,-1.270713034417024e-06,1.3430569553931858e-06,-4.80344619113193e-05,-4.834711225809949e-05,-1.2711271412154385e-06,1.3470646168214354e-06,3.480421299867785e-09,4.2168486436898605e-09,39,41,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,7.59374756059969e-08,5.467645280041709e-09,2.6181917580368736e-06,5.467645280041709e-09,0.0290037868207693,0.0020892069975894
0.2375,-1.1915575541594475e-06,1.2596463978994796e-06,-5.0652111440003895e-05,-5.034389816154351e-05,-1.192595011938972e-06,1.262102677289567e-06,2.570627291368387e-09,5.073074272251605e-09,41,41,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,6.950766535059487e-08,5.687196782502705e-09,2.4546976892285388e-06,5.687196782502705e-09,0.0283161815223119,0.0023177910523392
0.25,-1.1216809227150716e-06,1.1855304220310177e-06,-5.271404437710395e-05,-5.244195844880259e-05,-1.1236239527094189e-06,1.1868675988089476e-06,3.538951701739987e-09,3.59551956167681e-09,41,41,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,6.324364609952872e-08,5.044991582316957e-09,2.3104915515183665e-06,5.044991582316957e-09,0.0273723771281342,0.0021843322463558
0.2625,-1.0632407055258846e-06,1.1175634834135629e-06,-6.211195260891597e-05,-6.269675738602092e-05,-1.0654875722262957e-06,1.1206017690777888e-06,3.725084406332263e-09,3.618476457382848e-09,43,43,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,5.5114196851493154e-08,5.193228832521606e-09,2.1860893413040843e-06,5.193228832521606e-09,0.0252113195056408,0.002376334264077
0.275,-1.007596547157757e-06,1.058976486427323e-06,-6.239190266134193e-05,-6.218145696352309e-05,-1.011976441758183e-06,1.0612046193871756e-06,3.328256363816861e-09,3.936690046826747e-09,43,43,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,4.9228177628992614e-08,5.155077006997296e-09,2.0731810611453586e-06,5.155077006997296e-09,0.0237452379590019,0.0024872550732198
0.2875,-9.584371553861748e-07,1.0020118922695429e-06,-6.893564859774825e-05,-6.870109489650414e-05,-9.599674183480237e-07,1.0055843333817336e-06,3.114156475294398e-09,4.424762846156998e-09,43,45,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,4.5616915033709887e-08,5.410775988465001e-09,1.9655517517297573e-06,5.410775988465001e-09,0.0232081984071726,0.0027535438661945
0.3,-9.112849802923262e-07,9.481522634666396e-07,-7.587487772494908e-05,-7.690619274324717e-05,-9.11462194490586e-07,9.531807826864164e-07,3.646205779100759e-09,4.901740453045716e-09,45,47,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,4.171858819583046e-08,6.109163285800486e-09,1.8646429771770024e-06,6.109163285800486e-09,0.022373499220205,0.0032771378820595
